network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-30 17:00:00+01:00,2023-05-30 18:00:00+01:00,2023-05-30 18:38:01+01:00,+01:00,25.2,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-30 18:00:00+01:00,2023-05-30 19:00:00+01:00,2023-05-30 19:38:01+01:00,+01:00,9.6,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-30 19:00:00+01:00,2023-05-30 20:00:00+01:00,2023-05-30 20:38:01+01:00,+01:00,16.7,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-30 20:00:00+01:00,2023-05-30 21:00:00+01:00,2023-05-30 21:38:02+01:00,+01:00,25.6,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-30 21:00:00+01:00,2023-05-30 22:00:00+01:00,2023-05-30 22:38:01+01:00,+01:00,24.8,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-30 22:00:00+01:00,2023-05-30 23:00:00+01:00,2023-05-30 23:38:01+01:00,+01:00,10.5,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-30 23:00:00+01:00,2023-05-31 00:00:00+01:00,2023-05-31 00:38:01+01:00,+01:00,9.8,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-31 00:00:00+01:00,2023-05-31 01:00:00+01:00,2023-05-31 01:38:01+01:00,+01:00,10.3,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-31 01:00:00+01:00,2023-05-31 02:00:00+01:00,2023-05-31 02:38:01+01:00,+01:00,10.3,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-AD0942A-0005,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-31 02:00:00+01:00,2023-05-31 03:00:00+01:00,2023-05-31 03:38:01+01:00,+01:00,10.9,1,3,1080,ug/m3
